PHY_Long_PG.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","1-1","1-2","1-3","1-4","1-5","1-6","1-7","1-8","1-9","1-10","1-11","1-12","1-13","1-14","1-15","3-1","3-2","3-3","3-4","3-5","3-6","3-7","3-8","3-9","3-10","3-11","3-12","3-13","3-14","3-15","3-16","5-1","5-2","5-3","5-4","5-5","5-6","5-7","5-8","5-9","5-10","5-11","5-12","5-13","5-14","5-15","7-1","7-2","7-3","7-4","7-5","7-6","7-7","7-8","7-9","7-10","7-11","7-12","7-13","7-14","9-1","9-2","9-3","9-4","11-1","11-2","11-3","11-4","11-5","11-6","11-7","11-8","11-9","11-10","11-11","11-12","11-13","11-14","11-15","11-16","13-1","13-2","13-3","13-4","13-5","13-6","13-7","13-8","13-9","13-10","13-11","13-12","13-13","13-14","13-15","13-16"
"33","2014/03/03 09:15",0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,34,0,0,19,0,45,41,45,48,43,0,0,0,1,12,15,11,11,11,11,13,12,12,12,14,14,13,12,10,12,10,11,0,0,0,0,-1,0,0,0,0,-1,-1,0,1,-1,0,9,33,61,65,63,42,41,42,78,41,61,17,36,35,26,55,39
"34","2014/03/03 09:30",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,38,0,0,26,0,32,30,32,31,31,0,0,0,0,7,8,7,6,6,6,6,6,7,5,7,7,7,7,5,7,6,5,6,6,0,0,-1,0,0,0,0,-1,-1,0,1,-1,0,4,24,42,44,45,30,29,26,55,25,46,13,24,25,16,35,25
"35","2014/03/03 09:45",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,26,0,0,22,0,25,26,24,25,22,0,0,0,5,8,8,9,10,8,9,8,9,9,8,8,8,8,7,7,7,7,7,20,19,0,0,-1,0,0,0,0,-1,-1,0,0,-1,0,6,18,40,40,38,22,20,22,42,19,34,10,17,19,14,28,20
"36","2014/03/03 10:00",0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,31,0,0,23,0,26,25,26,25,23,0,0,0,1,5,6,5,7,5,6,6,7,7,6,5,7,7,6,7,5,6,7,0,0,0,0,-1,0,0,0,0,-1,-1,0,14,-1,0,5,18,37,37,36,20,20,19,39,22,34,9,19,20,14,34,23
"37","2014/03/03 10:15",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,42,0,0,27,0,31,30,30,33,28,0,0,0,0,4,5,4,5,4,4,4,4,5,4,5,4,6,5,4,5,4,4,0,0,0,0,-1,0,0,0,0,-1,-1,0,13,-1,0,4,24,41,42,41,26,26,24,51,26,42,13,26,23,16,35,25
"38","2014/03/03 10:30",0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,23,0,0,16,0,21,21,23,20,21,0,0,0,2,4,7,4,5,3,4,4,5,5,3,5,6,6,6,4,5,4,5,0,0,0,0,-1,0,0,0,1,-1,-1,0,35,-1,0,3,15,27,29,28,18,19,19,38,17,29,8,17,16,11,25,17
"39","2014/03/03 10:45",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,19,0,0,18,0,18,17,20,17,17,0,0,0,5,4,5,4,6,4,4,3,4,4,3,4,4,4,4,4,3,3,3,0,0,0,0,-1,0,0,0,0,-1,-1,0,38,-1,0,3,13,23,24,24,15,14,14,31,14,23,7,14,14,9,22,15
"40","2014/03/03 11:00",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,31,0,0,25,0,20,20,19,24,18,0,0,0,0,3,4,3,4,3,4,3,5,5,4,3,4,4,5,4,4,3,5,0,0,0,0,-1,0,0,0,0,-1,-1,0,30,-1,0,4,16,27,28,27,17,16,16,33,21,31,8,16,18,12,28,17
"41","2014/03/03 11:15",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,25,0,0,17,0,37,36,36,34,34,0,0,0,8,4,5,3,4,4,2,3,4,4,4,3,4,4,4,5,3,3,4,0,0,0,0,-1,0,0,0,0,-1,-1,0,38,-1,0,4,30,43,44,43,32,32,30,52,29,47,20,31,31,23,40,31
"42","2014/03/03 11:30",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,26,0,0,26,0,41,38,36,29,33,0,0,0,0,6,8,6,6,7,5,5,7,6,7,7,8,6,7,7,6,4,7,0,0,1,0,-1,0,0,0,0,-1,-1,0,38,-1,0,5,31,45,45,45,32,33,32,59,28,53,22,31,32,24,41,32
"43","2014/03/03 11:45",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,36,0,0,25,0,15,16,17,15,14,0,0,0,0,3,4,3,4,3,3,2,3,3,2,3,4,4,6,2,3,2,3,0,0,0,0,-1,0,0,0,0,-1,-1,0,31,-1,0,2,11,25,23,22,14,12,12,27,13,21,5,11,11,9,22,14
