PHY_Long_CSW_CMA.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","CSW-1DU.CACHE-1CA","CSW-1DL.CACHE-1CA","CSW-1JU.CACHE-1CA","CSW-1JL.CACHE-1CA","CSW-2PU.CACHE-1CA","CSW-2PL.CACHE-1CA","CSW-2VU.CACHE-1CA","CSW-2VL.CACHE-1CA","CSW-1DU.CACHE-1CB","CSW-1DL.CACHE-1CB","CSW-1JU.CACHE-1CB","CSW-1JL.CACHE-1CB","CSW-2PU.CACHE-1CB","CSW-2PL.CACHE-1CB","CSW-2VU.CACHE-1CB","CSW-2VL.CACHE-1CB","CSW-1DU.CACHE-1CE","CSW-1DL.CACHE-1CE","CSW-1JU.CACHE-1CE","CSW-1JL.CACHE-1CE","CSW-2PU.CACHE-1CE","CSW-2PL.CACHE-1CE","CSW-2VU.CACHE-1CE","CSW-2VL.CACHE-1CE","CSW-1DU.CACHE-1CF","CSW-1DL.CACHE-1CF","CSW-1JU.CACHE-1CF","CSW-1JL.CACHE-1CF","CSW-2PU.CACHE-1CF","CSW-2PL.CACHE-1CF","CSW-2VU.CACHE-1CF","CSW-2VL.CACHE-1CF","CSW-1DU.CACHE-2CC","CSW-1DL.CACHE-2CC","CSW-1JU.CACHE-2CC","CSW-1JL.CACHE-2CC","CSW-2PU.CACHE-2CC","CSW-2PL.CACHE-2CC","CSW-2VU.CACHE-2CC","CSW-2VL.CACHE-2CC","CSW-1DU.CACHE-2CD","CSW-1DL.CACHE-2CD","CSW-1JU.CACHE-2CD","CSW-1JL.CACHE-2CD","CSW-2PU.CACHE-2CD","CSW-2PL.CACHE-2CD","CSW-2VU.CACHE-2CD","CSW-2VL.CACHE-2CD","CSW-1DU.CACHE-2CG","CSW-1DL.CACHE-2CG","CSW-1JU.CACHE-2CG","CSW-1JL.CACHE-2CG","CSW-2PU.CACHE-2CG","CSW-2PL.CACHE-2CG","CSW-2VU.CACHE-2CG","CSW-2VL.CACHE-2CG","CSW-1DU.CACHE-2CH","CSW-1DL.CACHE-2CH","CSW-1JU.CACHE-2CH","CSW-1JL.CACHE-2CH","CSW-2PU.CACHE-2CH","CSW-2PL.CACHE-2CH","CSW-2VU.CACHE-2CH","CSW-2VL.CACHE-2CH"
"35","2014/03/03 09:45",12,17,6,2,12,17,6,2,12,16,6,2,12,16,6,2,12,17,6,2,12,17,6,2,12,17,6,2,12,17,6,2,12,16,6,2,12,16,6,2,12,16,6,2,12,16,6,2,12,16,6,2,12,16,6,2,12,17,6,2,12,17,6,2
"36","2014/03/03 10:00",7,13,5,1,7,13,5,1,7,13,5,1,7,13,5,1,7,13,5,1,7,13,5,1,7,13,5,1,7,13,5,1,7,13,5,1,7,13,4,1,7,13,4,1,7,13,4,1,7,13,4,1,7,13,4,1,7,13,4,1,7,13,5,1
"37","2014/03/03 10:15",9,15,3,1,9,15,3,1,9,15,3,1,9,15,3,1,9,15,3,1,9,15,3,1,9,15,3,1,9,15,3,1,9,15,3,1,9,15,3,1,9,15,3,1,9,15,3,1,9,15,3,1,9,15,3,1,9,15,3,1,9,15,3,1
"38","2014/03/03 10:30",11,10,2,0,11,10,2,0,11,10,2,0,11,10,2,0,11,10,2,0,11,10,2,0,11,10,2,0,11,10,2,0,11,10,2,0,11,10,2,0,11,10,2,0,11,10,2,0,11,10,2,0,11,10,2,0,11,10,2,0,11,10,2,0
"39","2014/03/03 10:45",13,12,4,1,13,12,4,1,13,11,4,1,13,11,4,1,13,11,3,1,13,11,3,1,12,11,4,1,12,11,4,1,13,11,4,1,13,11,4,1,13,11,4,1,13,12,4,1,13,12,3,1,13,12,3,1,13,11,4,1,13,11,4,1
"40","2014/03/03 11:00",9,11,1,0,9,11,1,0,8,11,1,0,8,11,1,0,8,11,1,0,8,11,1,0,8,11,1,0,8,11,1,0,9,11,1,0,9,11,1,0,9,11,1,0,9,11,1,0,9,11,1,0,9,11,1,0,9,11,1,0,9,11,1,0
"41","2014/03/03 11:15",14,18,6,2,14,18,6,2,14,18,5,2,14,18,5,2,14,18,5,2,14,18,5,2,14,18,6,2,14,18,6,2,14,18,5,2,14,18,5,2,14,18,6,2,14,18,6,2,14,18,5,2,14,18,5,2,14,18,5,2,14,18,5,2
"42","2014/03/03 11:30",10,12,4,1,10,12,4,1,10,12,4,1,10,12,4,1,10,12,5,1,10,12,5,1,10,12,4,1,10,12,4,1,10,12,4,2,10,12,4,2,10,12,4,2,10,12,4,2,10,12,5,2,10,12,5,2,10,12,5,2,11,12,5,2
"43","2014/03/03 11:45",8,9,2,0,8,9,2,0,8,9,2,0,8,9,2,0,8,9,2,0,8,9,2,0,8,9,3,0,8,9,2,0,8,9,2,0,8,9,2,0,8,9,3,0,8,9,3,0,8,9,3,0,8,9,3,0,8,9,2,0,8,9,2,0
"44","2014/03/03 12:00",9,11,3,0,10,11,3,0,10,11,2,0,10,11,2,0,10,11,3,0,10,11,3,0,10,11,3,0,9,11,3,0,10,11,2,0,10,11,2,0,10,11,2,0,10,11,2,0,10,11,3,0,10,11,3,0,10,11,3,0,10,11,3,0
"45","2014/03/03 12:15",9,9,3,1,9,9,3,1,9,9,3,1,9,9,3,1,9,9,3,1,9,9,3,1,9,9,3,1,9,9,3,1,9,9,3,1,9,9,3,1,9,9,3,1,9,9,3,1,9,9,3,1,9,9,3,1,9,9,3,1,9,9,3,1
"46","2014/03/03 12:30",8,5,2,0,8,5,2,0,8,6,2,0,8,6,2,0,8,5,2,0,8,5,2,0,8,6,2,0,8,5,2,0,8,6,2,0,8,6,2,0,8,6,2,0,8,6,2,0,8,6,2,0,8,6,2,0,8,5,2,0,8,5,2,0
"47","2014/03/03 12:45",8,5,1,0,8,5,1,0,8,5,1,0,8,5,1,0,8,5,1,0,8,5,1,0,8,5,1,0,8,5,1,0,8,5,1,0,8,5,1,0,8,5,1,0,8,5,1,0,8,5,1,0,8,5,1,0,8,5,1,0,8,5,1,0
"48","2014/03/03 13:00",8,5,2,0,8,5,2,0,8,5,2,0,8,5,2,0,8,5,2,0,8,5,2,0,8,5,2,0,8,5,2,0,8,5,2,0,8,5,2,0,9,5,2,0,9,5,2,0,8,5,2,0,8,5,2,0,8,5,2,0,8,5,2,0
"49","2014/03/03 13:15",11,6,2,1,11,6,2,1,11,6,2,1,11,6,2,1,11,6,2,1,11,6,2,1,11,6,2,1,11,6,2,1,11,6,2,1,11,6,2,1,11,6,2,1,11,6,2,1,11,6,2,1,11,6,2,1,11,6,2,1,11,6,2,1
"50","2014/03/03 13:30",5,3,3,0,5,3,3,0,5,3,3,0,5,3,3,0,5,3,3,0,6,3,3,0,5,3,3,0,5,3,3,0,6,3,2,0,6,3,2,0,6,4,3,0,6,4,3,0,6,3,2,0,6,3,2,0,6,3,2,0,6,3,2,0
"51","2014/03/03 13:45",10,4,2,0,10,4,2,0,10,4,2,0,10,4,2,0,10,4,2,0,10,4,2,0,10,4,2,0,10,4,2,0,11,4,2,0,11,4,2,0,11,4,2,0,11,4,2,0,11,4,2,0,11,4,2,0,10,4,2,0,10,4,2,0
"52","2014/03/03 14:00",9,5,2,0,9,5,2,0,9,5,2,0,9,5,2,0,9,4,2,0,9,4,2,0,9,4,2,0,9,5,2,0,9,5,2,0,9,5,2,0,9,5,2,0,9,5,2,0,9,4,2,0,9,5,2,0,9,4,2,0,9,4,2,0
"53","2014/03/03 14:15",8,4,2,0,8,4,2,0,8,4,2,0,8,4,3,0,8,4,2,0,8,4,3,0,8,4,2,0,8,4,3,0,8,4,2,0,8,4,3,0,8,4,2,0,8,4,3,0,8,4,2,0,8,4,3,0,8,4,2,0,8,4,3,0
"54","2014/03/03 14:30",8,6,3,1,8,6,3,1,8,6,2,1,8,6,2,1,8,6,3,1,8,6,3,1,8,6,2,1,8,6,2,1,8,6,3,1,8,6,3,1,8,6,3,1,8,6,3,1,8,6,3,1,8,6,3,1,8,6,2,1,8,6,2,1
"55","2014/03/03 14:45",8,5,3,0,8,5,3,0,8,5,3,0,8,5,3,0,8,5,3,0,8,5,3,1,8,5,3,0,8,5,3,0,8,5,3,1,8,5,3,1,8,5,3,1,8,5,3,1,8,5,3,1,8,5,3,1,8,5,3,1,8,5,3,0
"56","2014/03/03 15:00",7,6,2,0,7,6,2,0,7,5,2,0,7,5,2,0,7,5,2,0,7,5,2,0,7,5,2,0,7,5,2,0,7,6,2,0,7,6,2,0,7,6,2,0,7,6,2,0,7,6,2,0,7,6,2,0,7,5,2,0,7,5,2,0
"57","2014/03/03 15:15",6,6,2,0,6,6,2,0,6,6,2,0,6,6,2,0,6,6,2,0,6,6,2,0,6,6,2,0,6,6,2,0,6,6,2,0,6,6,2,0,6,6,2,0,6,6,2,0,6,6,2,0,6,6,2,0,6,6,2,0,6,6,2,0
"58","2014/03/03 15:30",3,5,2,0,3,5,2,0,3,5,2,0,3,5,2,0,3,5,2,0,3,5,2,0,3,5,2,0,3,5,2,0,3,5,2,0,3,5,2,0,3,5,2,0,3,5,2,0,3,5,2,0,3,5,2,0,3,5,2,0,3,5,2,0
