"No.","time","00:5C:8E(3-6)","00:5C:9B(3-6)","00:5C:A7(5-12)","00:5C:A8(5-15)","00:5C:B1(5-13)","00:5C:B2(5-2)","00:5C:B3X(X187-1)","00:5C:B4X(X186-1)","00:5C:BFX(X188-1)","00:5C:CC(1-2)","00:5C:CD(1-2)","00:5C:CE(1-2)","00:5C:CF(1-3)","00:5C:D9(1-3)","00:5C:DAX(X120-1)","00:5C:DBX(X124-1)","00:5C:DCX(X123-1)","00:5C:E2X(X122-1)","00:5C:E3X(X121-1)","00:5C:E4(3-8)","00:5C:E5(3-8)","00:5C:E6(3-9)","00:5C:E7(1-2)","00:5C:E8(1-2)","00:5C:E9(1-3)","00:5C:EA(1-3)","00:5C:EDX(X220-1)","00:5C:F5(5-15)","00:5C:F6(5-15)","00:5C:F7(5-15)","00:5C:F8(5-15)","00:5C:F9(5-15)","00:5C:FA(5-15)","00:5C:FB(5-15)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"75","2014/04/01 23:38",96,0,81,0,0,18,0,0,0,91,0,0,90,0,83,89,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
"76","2014/04/01 23:43",97,0,81,0,0,69,0,0,0,88,0,0,88,0,86,90,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0
"77","2014/04/01 23:48",100,0,10,0,0,100,0,0,0,90,0,0,92,0,88,91,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
"78","2014/04/01 23:53",97,0,66,0,0,100,0,0,0,91,0,0,92,0,80,88,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0
"79","2014/04/01 23:58",96,0,0,0,0,0,0,0,0,89,0,0,89,0,88,90,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,100,0
"80","2014/04/02 00:03",95,0,0,0,0,71,0,0,0,90,0,0,90,0,91,90,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,100,0
"81","2014/04/02 00:08",100,100,0,0,0,100,0,0,0,90,0,0,0,0,83,90,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,100,100
"82","2014/04/02 00:13",98,84,0,0,0,0,0,0,0,90,0,0,0,0,80,88,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0
"83","2014/04/02 00:18",96,50,0,0,0,90,0,0,0,88,0,0,90,0,0,94,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0
"84","2014/04/02 00:23",96,0,0,0,0,0,0,0,0,92,0,0,0,0,82,90,0,0,0,0,0,0,98,0,0,0,0,0,0,100,0,0,100,100
"85","2014/04/02 00:28",98,97,0,0,0,100,0,0,0,90,0,0,0,0,84,90,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,100,100
"86","2014/04/02 00:33",93,0,0,0,0,100,0,0,0,90,0,0,0,0,79,90,0,0,0,0,0,0,79,0,0,0,0,0,100,0,0,0,100,0
"87","2014/04/02 00:38",95,0,0,0,0,0,0,0,0,0,0,0,0,0,89,90,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0
"88","2014/04/02 00:43",98,0,0,0,0,100,0,0,0,0,0,0,90,0,83,90,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,100,0
"89","2014/04/02 00:48",94,0,0,0,0,0,0,0,0,0,0,0,89,0,82,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
"90","2014/04/02 00:53",100,0,0,0,0,100,0,0,0,92,0,0,91,0,82,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0
"91","2014/04/02 00:58",97,0,0,0,0,0,0,0,0,88,0,0,91,0,82,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0
"92","2014/04/02 01:03",98,0,0,0,0,83,0,0,0,90,0,0,89,0,94,0,0,0,0,0,0,0,88,0,0,0,0,0,4,0,0,0,100,100
"93","2014/04/02 01:08",97,0,0,0,0,100,0,0,0,95,0,0,0,0,82,0,0,0,0,0,0,0,90,0,0,0,0,0,2,6,0,0,0,0
"94","2014/04/02 01:13",100,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,94,0,0,0,0,0,0,2,0,0,0,0
"95","2014/04/02 01:18",97,0,0,0,0,4,0,0,0,90,0,0,0,0,66,86,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0
"96","2014/04/02 01:23",97,0,0,0,0,0,0,0,0,86,0,0,0,0,81,93,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0
