Port_KBPS.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CL1-A","CL3-A","CL5-A","CL7-A","CL1-B","CL3-B","CL5-B","CL7-B","CL1-E","CL3-E","CL5-E","CL7-E","CL1-F","CL3-F","CL5-F","CL7-F","CL3-C","CL1-D","CL3-D","CL2-A","CL4-A","CL6-A","CL8-A","CL2-B","CL4-B","CL6-B","CL8-B","CL2-E","CL4-E","CL6-E","CL8-E","CL2-F","CL4-F","CL6-F","CL8-F","CL2-C","CL4-C","CL4-D"
"59","2014/04/01 22:18",0,0,0,8016,807,0,7559,156,0,0,11,11,3,99,24619,0,93436,321,27739,0,0,0,7283,811,0,7655,176,0,0,12,13,13,85,23848,0,313,95307,25985
"60","2014/04/01 22:23",0,0,0,13192,2459,0,5938,520,0,0,12,10,10,81,14150,0,70342,2037,26259,0,0,0,11843,2286,0,5798,197,0,0,12,10,7,104,14117,0,2023,70823,24785
"61","2014/04/01 22:28",0,0,0,5505,2075,0,5318,168,0,0,11,12,10,95,13030,0,90588,1621,40430,0,0,0,6527,2112,0,5196,159,0,0,10,12,6,89,13112,0,1656,90982,41474
"62","2014/04/01 22:33",0,0,0,15673,771,0,4810,322,0,0,11,12,3,102,18729,0,86481,376,61618,0,0,0,14894,818,0,4825,272,0,0,12,11,13,86,18210,0,372,86422,60675
"63","2014/04/01 22:38",0,0,0,20663,2377,0,3007,276,0,0,11,12,13,78,15260,0,77309,1920,51014,0,0,0,20284,2224,0,3034,268,0,0,11,10,3,100,15399,0,1965,79355,50690
"64","2014/04/01 22:43",0,0,0,22380,2101,0,3899,195,0,0,16,14,6,93,8523,0,61564,1677,56720,0,0,0,23190,2056,0,3823,213,0,0,14,16,10,86,8771,0,1655,60853,57764
"65","2014/04/01 22:48",0,0,0,22542,733,0,4045,409,0,0,10,14,6,93,6169,0,53203,247,62372,0,0,0,20719,709,0,4039,544,0,0,11,10,10,86,6165,0,253,54453,62306
"66","2014/04/01 22:53",0,0,0,38371,2318,0,3343,188,0,0,12,10,13,78,10744,0,55096,2012,72547,0,0,0,39939,2162,0,3542,196,0,0,13,10,3,103,10893,0,1973,55541,72649
"67","2014/04/01 22:58",0,0,0,37586,7235,0,6989,230,0,0,10,12,4,103,23447,0,59051,1592,72338,0,0,0,37017,7242,0,6922,249,0,0,13,11,12,76,24065,0,1655,58305,72153
"68","2014/04/01 23:03",0,0,0,36316,87713,0,6395,2374,0,0,12,10,9,311,18349,0,73842,275,88225,0,0,0,35930,86549,0,6359,2299,0,0,12,11,7,309,19212,0,243,74056,88291
"69","2014/04/01 23:08",0,0,0,46607,101073,0,6897,428,0,0,11,11,28,82,15448,0,90848,2223,77001,0,0,0,46271,100180,0,7035,435,0,0,10,14,32,98,15397,0,2116,89626,76875
"70","2014/04/01 23:13",0,0,0,47215,53536,0,5579,129,0,0,12,12,282,89,53240,0,78775,1687,68991,0,0,0,42411,53432,0,5545,122,0,0,11,10,280,94,52023,0,1690,79020,67720
"71","2014/04/01 23:18",0,0,0,32237,90769,0,4106,257,0,0,11,11,3502,103,32944,0,102409,697,71163,0,0,0,34739,90636,0,4118,250,0,0,15,14,3500,81,31738,0,685,107325,70809
"72","2014/04/01 23:23",0,0,0,32546,87848,0,11227,145,0,0,11,12,2784,82,27570,0,93950,3129,71066,0,0,0,35188,87398,0,11775,141,0,0,10,12,2779,103,27680,0,3155,91820,71232
"73","2014/04/01 23:28",0,0,0,33409,101606,0,3853,110,0,0,10,10,42,91,9575,0,68980,2715,72194,0,0,0,31418,102594,0,3868,119,0,0,13,12,49,93,9574,0,2699,69233,71780
"74","2014/04/01 23:33",0,0,0,34209,96838,0,33473,94,0,0,12,12,1680,103,9695,0,104677,396,57725,0,0,0,32314,96519,0,33757,103,0,0,13,10,1671,84,9397,0,383,104788,58404
"75","2014/04/01 23:38",0,0,0,41021,93330,0,8965,100,0,0,8,8,53,79,8610,0,100144,1931,64627,0,0,0,41228,93136,0,8765,90,0,0,9,8,56,98,8884,0,1890,97147,64205
"76","2014/04/01 23:43",0,0,0,40484,97167,0,18122,115,0,0,12,12,69,92,20751,0,74590,1609,60501,0,0,0,41897,97898,0,18423,118,0,0,11,11,75,87,20544,0,1557,74298,60030
"77","2014/04/01 23:48",0,0,0,44914,89029,0,15484,126,0,0,11,11,50,96,23180,0,72130,192,59871,0,0,0,42161,88231,0,15526,120,0,0,12,11,40,85,23134,0,181,73239,58731
"78","2014/04/01 23:53",0,0,0,39387,70866,0,12047,4296,0,0,11,11,13,78,8965,0,73953,1896,58859,0,0,0,40582,70542,0,11825,4315,0,0,14,12,21,103,9064,0,1833,74570,59343
