Port_Response.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CL1-A","CL3-A","CL5-A","CL7-A","CL1-B","CL3-B","CL5-B","CL7-B","CL1-E","CL3-E","CL5-E","CL7-E","CL1-F","CL3-F","CL5-F","CL7-F","CL3-C","CL1-D","CL3-D","CL2-A","CL4-A","CL6-A","CL8-A","CL2-B","CL4-B","CL6-B","CL8-B","CL2-E","CL4-E","CL6-E","CL8-E","CL2-F","CL4-F","CL6-F","CL8-F","CL2-C","CL4-C","CL4-D"
"72","2014/04/01 23:23",-3,-3,-3,1946,3208,-3,2344,1263,-3,-3,-3,-3,7160,456,1738,-3,2639,4066,693,-3,-3,-3,2197,3308,-3,2299,1200,-3,-3,-3,-3,6600,610,1740,-3,5472,1962,763
"73","2014/04/01 23:28",-3,-3,-3,2032,5021,-3,2358,1974,-3,-3,-3,-3,1820,591,1341,-3,4494,4082,2137,-3,-3,-3,1954,4848,-3,2414,2008,-3,-3,-3,-3,1866,922,1223,-3,5657,4275,3257
"74","2014/04/01 23:33",-3,-3,-3,2530,5064,-3,3820,2184,-3,-3,-3,-3,11216,669,1140,-3,191,1752,5210,-3,-3,-3,2397,5062,-3,3753,1936,-3,-3,-3,-3,11844,810,1603,-3,1476,319,5129
"75","2014/04/01 23:38",-3,-3,-3,2424,3197,-3,2134,1945,-3,-3,-3,-3,1965,456,1232,-3,1580,2691,149,-3,-3,-3,2290,3064,-3,2188,1937,-3,-3,-3,-3,1619,564,1301,-3,4011,1570,5847
"76","2014/04/01 23:43",-3,-3,-3,2493,2093,-3,2623,1761,-3,-3,-3,-3,-3,1095,1383,-3,3066,2890,225,-3,-3,-3,2477,2057,-3,2516,1536,-3,-3,-3,-3,-3,600,1398,-3,3055,3096,342
"77","2014/04/01 23:48",-3,-3,-3,3002,3994,-3,2583,3470,-3,-3,-3,-3,-3,502,1624,-3,4403,1305,1551,-3,-3,-3,2953,4046,-3,2538,2339,-3,-3,-3,-3,-3,628,1608,-3,1493,4268,2070
"78","2014/04/01 23:53",-3,-3,-3,3163,2976,-3,1911,9063,-3,-3,-3,-3,-3,1723,1241,-3,1187,2451,968,-3,-3,-3,3420,3109,-3,1929,9140,-3,-3,-3,-3,-3,855,1022,-3,3831,600,223
"79","2014/04/01 23:58",-3,-3,-3,3017,4203,-3,2004,6640,-3,-3,-3,-3,-3,879,1163,-3,1196,2518,5208,-3,-3,-3,3000,4344,-3,2013,6617,-3,-3,-3,-3,-3,498,1205,-3,3619,1903,4252
"80","2014/04/02 00:03",-3,-3,-3,3133,1617,-3,1380,1680,-3,-3,-3,-3,-3,1516,959,-3,352,1343,5357,-3,-3,-3,2943,1608,-3,1392,1624,-3,-3,-3,-3,-3,1355,912,-3,1183,789,5328
"81","2014/04/02 00:08",-3,-3,-3,3282,2690,-3,2308,1704,-3,-3,-3,-3,-3,451,696,-3,3252,2560,9854,-3,-3,-3,3261,2701,-3,2387,1842,-3,-3,-3,-3,-3,1537,665,-3,3744,1217,10375
