LDEV_Rnd_Read_Hit05.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:05:01X(X178-1)","00:05:02X(X182-1)","00:05:03X(X185-1)","00:05:04X(X177-1)","00:05:05X(X180-1)","00:05:06(11-8)","00:05:07X(X183-1)","00:05:0AX(X155-1)","00:05:0BX(X152-1)","00:05:0CX(X153-1)","00:05:0DX(X156-1)","00:05:0EX(X151-1)","00:05:0FX(X471-1)","00:05:10X(X537-1)","00:05:11X(X572-1)","00:05:12X(X605-1)","00:05:13X(X607-1)","00:05:16X(X93-1)","00:05:17X(X94-1)","00:05:18X(X42-1)","00:05:19X(X43-1)","00:05:1AX(X44-1)","00:05:1BX(X45-1)","00:05:20X(X61-1)","00:05:21X(X63-1)","00:05:25X(X95-1)","00:05:26X(X89-1)","00:05:27X(X53-1)","00:05:28X(X54-1)","00:05:29X(X59-1)","00:05:2AX(X60-1)","00:05:2BX(X82-1)","00:05:2CX(X83-1)","00:05:2DX(X84-1)","00:05:2EX(X85-1)","00:05:2FX(X86-1)","00:05:30X(X87-1)","00:05:31X(X88-1)","00:05:32X(X92-1)"
"67","2014/04/01 22:58",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,97,97,96,98,97,97,96,0,0,0,0,0
"68","2014/04/01 23:03",100,100,100,0,0,0,0,100,100,99,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,85,81,81,79,85,94,92,0,0,0,0,0
"69","2014/04/01 23:08",100,100,100,0,0,0,0,99,100,99,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,96,96,97,94,98,99,99,0,0,0,0,0
"70","2014/04/01 23:13",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,81,82,81,83,81,83,83,0,0,0,0,0
"71","2014/04/01 23:18",100,100,100,0,0,0,0,100,100,99,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,87,87,88,85,85,85,88,0,0,0,0,0
"72","2014/04/01 23:23",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,80,79,80,90,82,78,86,0,0,0,0,0
"73","2014/04/01 23:28",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,83,89,79,90,70,76,81,0,0,0,0,0
"74","2014/04/01 23:33",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,94,97,55,98,50,67,93,0,0,0,0,0
"75","2014/04/01 23:38",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,78,83,72,82,81,76,84,0,0,0,0,0
"76","2014/04/01 23:43",100,100,100,0,0,0,0,100,100,100,0,0,100,99,100,100,66,0,0,0,0,0,0,0,0,0,0,86,86,86,87,86,86,85,0,0,0,0,0
